pitch,time,pitcher,batter,release_speed_mph,induced_vertical_break_in,horizontal_break_in,spin_rate_rpm,tilt,exit_speed_mph
246,150:01,"Castillo, Michael","Romero, Sebastian",80,-3.33,-3.08,2133,7:00,--
247,150:15,"Castillo, Michael","Romero, Sebastian",80,-1.75,-1.00,2182,6:30,--
248,150:44,"Castillo, Michael","Romero, Sebastian",91,22.93,6.02,2139,12:30,--
249,151:09,"Castillo, Michael","Romero, Sebastian",96,18.99,8.44,2163,12:45,--
250,151:23,"Castillo, Michael","Romero, Sebastian",94,18.14,7.15,2171,12:45,--
251,151:41,"Castillo, Michael","Romero, Sebastian",84,-0.35,-3.26,2199,8:15,--
252,152:00,"Castillo, Michael","Romero, Sebastian",92,18.17,6.37,2105,12:45,--
253,152:29,"Castillo, Michael","Romero, Sebastian",94,18.84,5.88,2092,12:30,--
254,153:05,"Castillo, Michael","Romero, Sebastian",83,-4.97,-2.58,2117,6:45,84
255,153:38,"Castillo, Michael","Romero, Sebastian",96,16.57,8.94,2130,1:00,--
256,154:05,"Castillo, Michael","Cardozo, Ronald",83,3.20,1.55,2048,1:30,--
257,154:41,"Castillo, Michael","Cardozo, Ronald",93,15.81,8.06,2119,1:00,34
258,155:19,"Castillo, Michael","Cardozo, Ronald",92,17.88,6.74,2034,12:45,--
259,155:56,"Castillo, Michael","Cardozo, Ronald",92,14.38,6.53,1875,1:00,--
260,157:22,"Castillo, Michael","Cardozo, Ronald",92,15.46,7.30,1892,1:00,--
261,158:32,"Castillo, Michael","Paulino, Hector",92,19.81,5.01,1932,12:30,--
262,159:01,"Castillo, Michael","Paulino, Hector",92,16.20,7.92,2003,1:00,--
263,159:49,"Castillo, Michael","Paulino, Hector",92,17.45,5.52,2144,12:30,30
264,160:31,"Castillo, Michael","Suarez, Jose",93,14.41,9.25,2062,1:15,--
265,161:01,"Castillo, Michael","Suarez, Jose",92,15.83,6.59,2144,12:45,--
266,161:31,"Castillo, Michael","Suarez, Jose",92,19.39,7.30,2157,12:45,--
267,162:13,"Castillo, Michael","Suarez, Jose",91,18.76,7.40,2066,12:45,--
268,163:21,"Castillo, Michael","Suarez, Jose",91,18.05,8.90,2060,1:00,--
269,164:09,"Perez, Hector","Perez, Nestor",88,14.77,18.80,2074,1:45,--
270,164:24,"Perez, Hector","Perez, Nestor",77,6.23,-2.18,2050,11:00,--
271,164:38,"Perez, Hector","Perez, Nestor",83,3.30,18.05,1683,2:45,--
272,164:55,"Perez, Hector","Perez, Nestor",76,2.95,-5.91,2090,9:15,--
273,165:22,"Perez, Hector","Perez, Nestor",88,11.59,15.51,2095,2:00,--
274,165:48,"Perez, Hector","Perez, Nestor",79,4.01,-3.57,2138,10:00,--
275,165:58,"Perez, Hector","Perez, Nestor",79,3.38,-1.74,2192,10:30,--
